lexicalEntry,canonicalForm,lexicalSense,definition,originalExample,originalExampleText,syntheticExample,syntheticExampleText
http://llod.jerteh.rs/alo/alolex#entry_11130,tucati,http://llod.jerteh.rs/alo/alolex#sense_11130_1,jebati,http://llod.jerteh.rs/alo/alolex#example_11130_1_1,Tucaće te ćelavi dok ti oči ne isteram napolje!,http://llod.jerteh.rs/alo/synthetic#entry_477,"Mrzim te, tucacu te kad te vidim!"
http://llod.jerteh.rs/alo/alolex#entry_11154,ubiti,http://llod.jerteh.rs/alo/alolex#sense_11154_1,"jebati
nasilno oduzeti život, lišiti života, usmrtiti; izudarati, izbiti, istući; izazvati uboje, nagnječiti, ozlediti; oduzeti sebi život, izvršiti samoubistvo; potući se, pobiti se; odmah, jednim udarcem, potezom ubiti (bez ranjavanja); pretući, premlatiti koga",http://llod.jerteh.rs/alo/alolex#example_11154_1_1,Ubićemo te masonsko govno.,http://llod.jerteh.rs/alo/synthetic#entry_151,"Trebalo je da te ubiju kad si se rodio, nesrećo jedna."
http://llod.jerteh.rs/alo/alolex#entry_11154,ubiti,http://llod.jerteh.rs/alo/alolex#sense_11154_1,"jebati
nasilno oduzeti život, lišiti života, usmrtiti; izudarati, izbiti, istući; izazvati uboje, nagnječiti, ozlediti; oduzeti sebi život, izvršiti samoubistvo; potući se, pobiti se; odmah, jednim udarcem, potezom ubiti (bez ranjavanja); pretući, premlatiti koga",http://llod.jerteh.rs/alo/alolex#example_11154_1_2,I tvoju familiju pazi.,http://llod.jerteh.rs/alo/synthetic#entry_151,"Trebalo je da te ubiju kad si se rodio, nesrećo jedna."
http://llod.jerteh.rs/alo/alolex#entry_11154,ubiti,http://llod.jerteh.rs/alo/alolex#sense_11154_1,"jebati
nasilno oduzeti život, lišiti života, usmrtiti; izudarati, izbiti, istući; izazvati uboje, nagnječiti, ozlediti; oduzeti sebi život, izvršiti samoubistvo; potući se, pobiti se; odmah, jednim udarcem, potezom ubiti (bez ranjavanja); pretući, premlatiti koga",http://llod.jerteh.rs/alo/alolex#example_11154_1_3,Ubićemo te pazi tu svoju ružnu glavu magarčino.,http://llod.jerteh.rs/alo/synthetic#entry_151,"Trebalo je da te ubiju kad si se rodio, nesrećo jedna."
http://llod.jerteh.rs/alo/alolex#entry_11154,ubiti,http://llod.jerteh.rs/alo/alolex#sense_11154_1,"jebati
nasilno oduzeti život, lišiti života, usmrtiti; izudarati, izbiti, istući; izazvati uboje, nagnječiti, ozlediti; oduzeti sebi život, izvršiti samoubistvo; potući se, pobiti se; odmah, jednim udarcem, potezom ubiti (bez ranjavanja); pretući, premlatiti koga",http://llod.jerteh.rs/alo/alolex#example_11154_1_4,Da li je moguće ubiti ga kao nekadašnjeg američkog predsednika Kenedija?,http://llod.jerteh.rs/alo/synthetic#entry_151,"Trebalo je da te ubiju kad si se rodio, nesrećo jedna."
http://llod.jerteh.rs/alo/alolex#entry_11154,ubiti,http://llod.jerteh.rs/alo/alolex#sense_11154_1,"jebati
nasilno oduzeti život, lišiti života, usmrtiti; izudarati, izbiti, istući; izazvati uboje, nagnječiti, ozlediti; oduzeti sebi život, izvršiti samoubistvo; potući se, pobiti se; odmah, jednim udarcem, potezom ubiti (bez ranjavanja); pretući, premlatiti koga",http://llod.jerteh.rs/alo/alolex#example_11154_1_1,Ubićemo te masonsko govno.,http://llod.jerteh.rs/alo/synthetic#entry_47,"@USER Ubiti ću te majmune jedan, samo da te uhvatim! 😡"
http://llod.jerteh.rs/alo/alolex#entry_11154,ubiti,http://llod.jerteh.rs/alo/alolex#sense_11154_1,"jebati
nasilno oduzeti život, lišiti života, usmrtiti; izudarati, izbiti, istući; izazvati uboje, nagnječiti, ozlediti; oduzeti sebi život, izvršiti samoubistvo; potući se, pobiti se; odmah, jednim udarcem, potezom ubiti (bez ranjavanja); pretući, premlatiti koga",http://llod.jerteh.rs/alo/alolex#example_11154_1_2,I tvoju familiju pazi.,http://llod.jerteh.rs/alo/synthetic#entry_47,"@USER Ubiti ću te majmune jedan, samo da te uhvatim! 😡"
http://llod.jerteh.rs/alo/alolex#entry_11154,ubiti,http://llod.jerteh.rs/alo/alolex#sense_11154_1,"jebati
nasilno oduzeti život, lišiti života, usmrtiti; izudarati, izbiti, istući; izazvati uboje, nagnječiti, ozlediti; oduzeti sebi život, izvršiti samoubistvo; potući se, pobiti se; odmah, jednim udarcem, potezom ubiti (bez ranjavanja); pretući, premlatiti koga",http://llod.jerteh.rs/alo/alolex#example_11154_1_3,Ubićemo te pazi tu svoju ružnu glavu magarčino.,http://llod.jerteh.rs/alo/synthetic#entry_47,"@USER Ubiti ću te majmune jedan, samo da te uhvatim! 😡"
http://llod.jerteh.rs/alo/alolex#entry_11154,ubiti,http://llod.jerteh.rs/alo/alolex#sense_11154_1,"jebati
nasilno oduzeti život, lišiti života, usmrtiti; izudarati, izbiti, istući; izazvati uboje, nagnječiti, ozlediti; oduzeti sebi život, izvršiti samoubistvo; potući se, pobiti se; odmah, jednim udarcem, potezom ubiti (bez ranjavanja); pretući, premlatiti koga",http://llod.jerteh.rs/alo/alolex#example_11154_1_4,Da li je moguće ubiti ga kao nekadašnjeg američkog predsednika Kenedija?,http://llod.jerteh.rs/alo/synthetic#entry_47,"@USER Ubiti ću te majmune jedan, samo da te uhvatim! 😡"
http://llod.jerteh.rs/alo/alolex#entry_11156,ucmekati,http://llod.jerteh.rs/alo/alolex#sense_11156_1,"ubiti, umlatiti",http://llod.jerteh.rs/alo/alolex#example_11156_1_1,Pod hitno govno ucmekati,http://llod.jerteh.rs/alo/synthetic#entry_425,"Ako mi još jednom budeš pravio probleme, ucmekaću te!"
http://llod.jerteh.rs/alo/alolex#entry_5123,bič,http://llod.jerteh.rs/alo/alolex#sense_5123_1,"udarac bičem kao kazna; božja kazna, veliko zlo",http://llod.jerteh.rs/alo/alolex#example_5123_1_1,bičem ću te isterati,http://llod.jerteh.rs/alo/synthetic#entry_50,Neka te stigne bič božji za sve laži koje si izrekao.
http://llod.jerteh.rs/alo/alolex#entry_5128,vešala,http://llod.jerteh.rs/alo/alolex#sense_5128_1,"vješala; sprava, naprava na kojoj se izvršava smrtna kazna vešanjem, a sastoji se od vertikalnog stuba na kojem je horizontalno učvršćena kraća greda s omčom; smrtna kazna vešanjem: osuditi na vešala",http://llod.jerteh.rs/alo/alolex#example_5128_1_1,poslati na vešala,http://llod.jerteh.rs/alo/synthetic#entry_198,"Za takve izdajnike kao što si ti, samo su vešala rešenje."
http://llod.jerteh.rs/alo/alolex#entry_5159,zaklan,http://llod.jerteh.rs/alo/alolex#sense_5159_1,od zaklati (se),http://llod.jerteh.rs/alo/alolex#example_5159_1_1,Bio je još jedan Aleksandar koji je vodio Srbiju pre nešto više od sto godina pa je završio onako kako će da završi i ovo govno,http://llod.jerteh.rs/alo/synthetic#entry_133,"Izgledaš mi kao zaklan vo, sav si beo i krvav."
http://llod.jerteh.rs/alo/alolex#entry_5162,zapaliti,http://llod.jerteh.rs/alo/alolex#sense_5162_1,"učiniti da nešto počne goreti, upaliti, zažeći; pokrenuti, izazvati (sukob, rat); opaliti iz vatrenog oružja; početi goreti, upaliti se",http://llod.jerteh.rs/alo/alolex#example_5162_1_1,Kuću ću ti zapaliti.,http://llod.jerteh.rs/alo/synthetic#entry_430,"Trebalo je tebe zapaliti kad si se rodio, đubre jedno!"
http://llod.jerteh.rs/alo/alolex#entry_5162,zapaliti,http://llod.jerteh.rs/alo/alolex#sense_5162_1,"učiniti da nešto počne goreti, upaliti, zažeći; pokrenuti, izazvati (sukob, rat); opaliti iz vatrenog oružja; početi goreti, upaliti se",http://llod.jerteh.rs/alo/alolex#example_5162_1_2,Zapalićemo te na lomači na sred Terazija.,http://llod.jerteh.rs/alo/synthetic#entry_430,"Trebalo je tebe zapaliti kad si se rodio, đubre jedno!"
http://llod.jerteh.rs/alo/alolex#entry_5169,izbosti,http://llod.jerteh.rs/alo/alolex#sense_5169_1,"ubosti više puta na više mesta, isprobadati; zadati rane bodenjem",http://llod.jerteh.rs/alo/alolex#example_5169_1_1,izbošću te viljuškom; izbošću te vilama,http://llod.jerteh.rs/alo/synthetic#entry_194,"Trebalo je da te izbosti na mrtvo ime, đubre jedno!"
http://llod.jerteh.rs/alo/alolex#entry_5171,izlomiti,http://llod.jerteh.rs/alo/alolex#sense_5171_1,"savijajući prelomiti, prebiti, slomiti (obično na više mesta); rasparčati, raskomadati:; izmoriti, izmučiti, izmrcvariti",http://llod.jerteh.rs/alo/alolex#example_5171_1_1,izlomiti kosti,http://llod.jerteh.rs/alo/synthetic#entry_206,"Treba te izlomiti kao staru dasku, đubre jedno!"
http://llod.jerteh.rs/alo/alolex#entry_5174,izrešetati,http://llod.jerteh.rs/alo/alolex#sense_5174_1,"probušiti na više mesta, izbušiti (kao sito)",http://llod.jerteh.rs/alo/alolex#example_5174_1_1,"IZREŠETAĆU IH SVE, NEKA SE SPREME; Izrešetaću te BRE, nećeš trepnuti BRE ti jasno BRE",http://llod.jerteh.rs/alo/synthetic#entry_403,Trebalo je da ga izrešetaju pre nego što je počeo da laže.
http://llod.jerteh.rs/alo/alolex#entry_5176,iskasapiti,http://llod.jerteh.rs/alo/alolex#sense_5176_1,"iseći, izranjaviti, unakaziti (obično hladnim oružjem)",http://llod.jerteh.rs/alo/alolex#example_5176_1_1,iskasapiću te,http://llod.jerteh.rs/alo/synthetic#entry_141,Trebalo je da ga iskasape kao svinju zbog toga što je uradio.
http://llod.jerteh.rs/alo/alolex#entry_5257,prekratiti,http://llod.jerteh.rs/alo/alolex#sense_5257_1,"učiniti da nešto prestane, prekinuti",http://llod.jerteh.rs/alo/alolex#example_5257_1_1,muke ću ti prekratiti,http://llod.jerteh.rs/alo/synthetic#entry_173,"Prekrati sebi muke, ionako si beskoristan."
http://llod.jerteh.rs/alo/alolex#entry_5266,prosvirati,http://llod.jerteh.rs/alo/alolex#sense_5266_1,"svirajući, fijučući proleteti (o metku); probiti, probušiti (o metku)",http://llod.jerteh.rs/alo/alolex#example_5266_1_1,glavu ću ti prosvirati,http://llod.jerteh.rs/alo/synthetic#entry_15,"Trebalo je da ti metak prosvira kroz glavu, đubre jedno."
http://llod.jerteh.rs/alo/alolex#entry_5299,rascopati,http://llod.jerteh.rs/alo/alolex#sense_5299_1,"jakim udarcem razbiti, razlupati",http://llod.jerteh.rs/alo/alolex#example_5299_1_1,rascopati lobanju/tikvu/glavu (čekićem),http://llod.jerteh.rs/alo/synthetic#entry_210,"Ako još jednom progovoriš, rascopaću ti tu odvratnu facu!"
http://llod.jerteh.rs/alo/alolex#entry_5318,sahraniti,http://llod.jerteh.rs/alo/alolex#sense_5318_1,"oterati u smrt, prouzrokovati (nekome) ranu smrt; uništiti, upropastiti; onemogućiti u daljem aktivnom radu, potpuno onemogućiti aktivno delovanje nekome",http://llod.jerteh.rs/alo/alolex#example_5318_1_1,"Sahraniću te sutra živu, neću ispaštati da znaš jer si drolja",http://llod.jerteh.rs/alo/synthetic#entry_131,"Ako nastaviš da me provociraš, sahraniću te!"
http://llod.jerteh.rs/alo/alolex#entry_5365,ubijen,http://llod.jerteh.rs/alo/alolex#sense_5365_1,od ubiti (se),http://llod.jerteh.rs/alo/alolex#example_5365_1_1,Bićeš ubijen kraj priče,http://llod.jerteh.rs/alo/synthetic#entry_204,Taj film je ubijen od strane kritičara; niko ga nije shvatio.
http://llod.jerteh.rs/alo/alolex#entry_9773,bomba,http://llod.jerteh.rs/alo/alolex#sense_9773_1,"vrsta eksplozivnog projektila, okrugla naprava sastavljena iz metalnog omotača, eksploziva i upaljača koja služi za razaranje i uništavanje žive sile borbenih sredstava neprijatelja i dr. opasnost, izvor opasnosti; opasnost koja preti
zgodna, privlačna žena",http://llod.jerteh.rs/alo/alolex#example_9773_1_1,bombu ću ti baciti,http://llod.jerteh.rs/alo/synthetic#entry_444,"Ta sponzoruša je prava bomba, samo gleda kako da se uvali nekom bogatašu."
http://llod.jerteh.rs/alo/alolex#entry_9833,crnja,http://llod.jerteh.rs/alo/alolex#sense_9833_1,crnac,http://llod.jerteh.rs/alo/alolex#example_9833_1_1,Ajde crnjo!,http://llod.jerteh.rs/alo/synthetic#entry_405,"Ne želim da me taj crnja dodirne, odvratan je."
http://llod.jerteh.rs/alo/alolex#entry_9833,crnja,http://llod.jerteh.rs/alo/alolex#sense_9833_1,crnac,http://llod.jerteh.rs/alo/alolex#example_9833_1_2,Muzika ti je u duši!,http://llod.jerteh.rs/alo/synthetic#entry_405,"Ne želim da me taj crnja dodirne, odvratan je."
http://llod.jerteh.rs/alo/alolex#entry_9834,crnčuga,http://llod.jerteh.rs/alo/alolex#sense_9834_1,crnac,http://llod.jerteh.rs/alo/alolex#example_9834_1_1,Ja sam vlasnik onih crnčuga sa kojima ste pričali...,http://llod.jerteh.rs/alo/synthetic#entry_247,"Ne želim da imam posla sa tom crnčugom, on je samo problem."
http://llod.jerteh.rs/alo/alolex#entry_9835,crv,http://llod.jerteh.rs/alo/alolex#sense_9835_1,"bezvredan muškarac
vredna osoba",http://llod.jerteh.rs/alo/alolex#example_9835_1_1,radi kao crv,http://llod.jerteh.rs/alo/synthetic#entry_91,"Ti si običan crv, ništa ne vrediš!"
